,Id,Label,Interval,Giant_Component,cluster_eigen,cluster_kmeans,cluster_GN,hashtags,gruppo
36,959149004851417088,popoloZeta,,1,1,1,1,@matteosalvinimi,1
37,389679304,ACCEDIALSITO,,1,1,1,1,@matteosalvinimi,1
38,3324760499,chefgio54,,1,1,1,1,@matteosalvinimi,1
39,1268883593528520705,GiusEvangelista,,1,1,1,1,@matteosalvinimi,1
40,17921374,alexdpl76,,1,1,1,1,@matteosalvinimi,1
41,3170191802,Rickykanga,,1,1,1,1,@matteosalvinimi,1
42,909096687674814465,mogicrz,,1,1,1,1,@matteosalvinimi,1
43,265679140,virtualex71,,1,2,2,1,@matteosalvinimi,1
44,63211096,miloezio,,1,1,1,1,@matteosalvinimi,1
45,1471444760825151490,lapenna_alberto,,1,1,1,1,@matteosalvinimi,1
46,2362829526,CarmineChiola,,1,1,1,1,@matteosalvinimi,1
47,705712827273707520,Stefano06626540,,0,0,0,0,@matteosalvinimi,1
48,1710348528,Imperator_98,,1,1,1,1,@matteosalvinimi,1
49,2911298461,1237171aa,,1,1,1,1,@matteosalvinimi,1
50,2188426941,CelliniFlavio,,1,1,1,1,@matteosalvinimi,1
51,1312802310830125057,CarlottaMarche7,,1,2,1,1,@matteosalvinimi,1
52,1412732760498835461,birbantelloanna,,1,1,1,1,@matteosalvinimi,1
53,1248373124778921985,alex53235379,,1,1,1,1,@matteosalvinimi,1
54,942438880220975105,nacho56394118,,1,1,1,1,@matteosalvinimi,1
55,2782537521,AntonellaAte,,1,1,1,1,@matteosalvinimi,1
56,1388570703553777664,nightwalqueer,,1,1,1,1,@matteosalvinimi,1
57,865205076159344640,3_carpe,,1,2,2,1,@matteosalvinimi,1
58,1349813865417236481,Debora98398253,,1,1,1,1,@matteosalvinimi,1
59,4307656647,Gemma04510476,,1,1,1,1,@matteosalvinimi,1
60,55672337,apispsp,,1,1,1,1,@matteosalvinimi,1
61,38903873,ddinno,,1,2,1,1,@matteosalvinimi,1
62,568418849,komba_vany,,1,2,2,1,@matteosalvinimi,1
63,162145923,ferre_franz,,1,1,1,1,@matteosalvinimi,1
64,14897369,Emmeci,,0,0,0,0,@matteosalvinimi,1
65,934140177571868672,Assunta30262347,,1,1,1,1,@matteosalvinimi,1
66,1466320156351680516,PatriP617,,1,1,1,1,@matteosalvinimi,1
67,1370643606520930312,NoGreenPass_,,1,1,1,1,@matteosalvinimi,1
68,2967886973,Bad_Linhat,,1,1,1,1,@matteosalvinimi,1
69,366660837,_fiorucci,,1,2,1,1,@matteosalvinimi,1
70,714692716567928832,tripleGGGx,,1,1,1,1,@matteosalvinimi,1
71,1093547596528926720,MAngiolieri,,1,1,1,1,@matteosalvinimi,1
72,1050753675445104640,Ernesto29296958,,1,1,1,1,@matteosalvinimi,1
73,1466421284263407630,OlPauli67,,1,1,1,1,@matteosalvinimi,1
74,1646281124,AValvecchia,,1,2,1,1,@matteosalvinimi,1
