Id,Label,Interval,Colour,Giant_Component,cluster_eigen,cluster_kmeans,Colour_GN,Cluster_mod
2761402156,kiuspo73,,#99cccc,1,1,1,1,#aaaacc
1217493838731804672,ItaliaJoseph,,#99cccc,1,1,1,1,#aaaacc
1468581991306395650,Anti_UE_Patriot,,#99cccc,1,1,1,1,#aaaacc
1935290473,FraterVentus,,#99cccc,1,1,1,1,#aaaacc
1150070907429371905,salvinithebest,,#99cccc,1,1,1,1,#aaaacc
2573730586,Massi_Dubai,,#99cccc,1,1,1,1,#aaaacc
716353562020855810,Andrea_D74,,#99cccc,1,1,1,1,#aaaacc
392197028,marco061066,,#99cccc,1,1,1,1,#aaaacc
429279647,mariomariov1,,#99cccc,1,1,1,2,#aaaacc
394680267,PAOLAMALACRIDA,,#99cccc,1,1,1,1,#aaaacc
1475180817206939658,MariarosariaOr8,,#99cccc,1,1,1,1,#aaaacc
1366505333523443715,Anna302478978,,#99cccc,1,1,1,1,#aaaacc
1365392220262715395,ticino_notizie,,#99cccc,1,1,1,1,#aaaacc
